timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2020-06-21 10:12:08 +0000;51.823960;5.889729;59.450073;10.000000;10.000000;15.840000;28.476562
2020-06-21 10:12:12 +0000;51.824192;5.889959;59.640930;10.000000;10.000000;18.216000;21.445312
2020-06-21 10:12:16 +0000;51.824405;5.890105;60.803223;10.000000;10.000000;19.547999;22.148438
2020-06-21 10:12:21 +0000;51.824609;5.890373;61.059998;10.000000;10.000000;19.728000;26.592684
2020-06-21 10:12:26 +0000;51.824827;5.890550;60.427185;10.000000;10.000000;17.063999;26.592684
2020-06-21 10:12:33 +0000;51.825077;5.890751;60.884155;10.000000;10.000000;10.476000;26.592684
2020-06-21 10:12:37 +0000;51.825295;5.890927;61.687988;10.000000;10.000000;19.547999;26.592684
2020-06-21 10:12:42 +0000;51.825497;5.891090;60.840698;10.000000;10.000000;16.236001;26.592684
2020-06-21 10:12:49 +0000;51.825729;5.891242;62.452454;10.000000;10.000000;9.468000;24.257812
2020-06-21 10:12:54 +0000;51.825937;5.891400;61.955383;10.000000;10.000000;14.724001;27.070312
2020-06-21 10:13:00 +0000;51.826190;5.891609;62.624817;10.000000;10.000000;17.963999;22.148438
2020-06-21 10:13:04 +0000;51.826397;5.891783;63.853088;10.000000;10.000000;19.512000;22.500000
2020-06-21 10:13:10 +0000;51.826610;5.891929;64.910217;10.000000;10.000000;12.816000;24.609375
2020-06-21 10:13:17 +0000;51.826818;5.892088;65.138367;10.000000;10.000000;11.520000;22.851562
2020-06-21 10:13:23 +0000;51.827031;5.892303;66.085754;10.000000;10.000000;15.336001;23.906250
2020-06-21 10:13:27 +0000;51.827262;5.892507;67.244812;10.000000;10.000000;18.000000;23.203125
2020-06-21 10:13:32 +0000;51.827504;5.892733;67.559570;10.000000;10.000000;16.704000;24.257812
2020-06-21 10:13:38 +0000;51.827723;5.892929;67.987366;10.000000;10.000000;15.263999;25.664062
2020-06-21 10:13:43 +0000;51.827930;5.893101;66.458984;10.000000;10.000000;15.119999;28.828125
