Number	Latitude decimal	Longitude decimal	Length	Time	Duration	Speed	Knots	Bearing	Elevation	Elevation Delta	Elevation Gain	Elevation Loss	Latitude degrees	Longitude degrees	Name
1	51.817487	5.851248	0	2020-06-21T12:01:47Z	0			E	25.556152	0	0	0	51°49.049'N	5°51.075'E	
48	51.820902	5.881539	25.72230621231555	2020-06-21T12:09:55Z	6	4.287051035385925	8.33336054394413	NE	45.928406	1.235413000000001	37.196046	-16.823792	51°49.254'N	5°52.892'E	
49	51.821037	5.881848	25.96950829825271	2020-06-21T12:10:02Z	7	3.709929756893244	7.211526525276201	NE	47.009460	1.081053999999995	38.27709999999999	-16.823792	51°49.262'N	5°52.911'E	
50	51.821175	5.882187	27.85813048951791	2020-06-21T12:10:10Z	8	3.482266311189739	6.768984190215528	E	49.455017	2.445557000000001	40.72265699999999	-16.823792	51°49.270'N	5°52.931'E	
51	51.821263	5.882522	24.98133445852034	2020-06-21T12:10:16Z	6	4.163555743086722	8.093304900166057	E	49.019531	-0.4354859999999974	40.72265699999999	-17.25927799999999	51°49.276'N	5°52.951'E	
52	51.821356	5.882897	27.73067018071934	2020-06-21T12:10:23Z	7	3.961524311531334	7.700587214637348	E	49.322021	0.3024899999999988	41.02514699999999	-17.25927799999999	51°49.281'N	5°52.974'E	
53	51.821401	5.883256	25.13983243318201	2020-06-21T12:10:28Z	5	5.027966486636402	9.773584963221067	E	50.111816	0.789794999999998	41.81494199999999	-17.25927799999999	51°49.284'N	5°52.995'E	
54	51.821469	5.883608	25.31023478096978	2020-06-21T12:10:34Z	6	4.218372463494963	8.199860080225239	E	50.755737	0.643921000000006	42.45886299999999	-17.25927799999999	51°49.288'N	5°53.016'E	
55	51.821549	5.884030	30.2934696736286	2020-06-21T12:10:40Z	6	5.048911612271433	9.814299030330186	E	52.145996	1.390258999999993	43.84912199999999	-17.25927799999999	51°49.293'N	5°53.042'E	
56	51.821668	5.884405	28.92980298972884	2020-06-21T12:10:46Z	6	4.821633831621473	9.372506368159776	NE	52.919739	0.7737430000000032	44.62286499999999	-17.25927799999999	51°49.300'N	5°53.064'E	
57	51.821802	5.884719	26.18693627964741	2020-06-21T12:10:52Z	6	4.364489379941234	8.483888643511639	NE	55.364746	2.445006999999997	47.06787199999999	-17.25927799999999	51°49.308'N	5°53.083'E	
58	51.821946	5.885074	29.14131413530749	2020-06-21T12:10:58Z	6	4.856885689217914	9.441030497396895	NE	57.158569	1.793823000000003	48.86169499999999	-17.25927799999999	51°49.317'N	5°53.104'E	
59	51.822136	5.885382	29.86388841506117	2020-06-21T12:11:02Z	4	7.465972103765292	14.51268875461484	NE	56.663818	-0.4947510000000008	48.86169499999999	-17.754029	51°49.328'N	5°53.123'E	
60	51.822253	5.885702	25.515858381417	2020-06-21T12:11:06Z	4	6.378964595354249	12.39971519614911	E	57.942932	1.279114	50.14080899999999	-17.754029	51°49.335'N	5°53.142'E	
61	51.822344	5.886116	30.15549426218789	2020-06-21T12:11:11Z	5	6.031098852437578	11.72351828767199	NE	59.191833	1.248901000000004	51.38970999999999	-17.754029	51°49.341'N	5°53.167'E	
62	51.822483	5.886493	30.12650429807199	2020-06-21T12:11:17Z	6	5.021084049678665	9.760206576046205	NE	60.279175	1.087342	52.47705199999999	-17.754029	51°49.349'N	5°53.190'E	
63	51.822601	5.886811	25.4546428832639	2020-06-21T12:11:22Z	5	5.09092857665278	9.895973475131914	NE	61.024475	0.7453000000000003	53.22235199999999	-17.754029	51°49.356'N	5°53.209'E	
64	51.822733	5.887166	28.43175565093453	2020-06-21T12:11:27Z	5	5.686351130186906	11.05338232649379	NE	59.785706	-1.238769000000005	53.22235199999999	-18.992798	51°49.364'N	5°53.230'E	
